SECTION,SUBSECTION,PARAMETER,OBSERVED,MODEL,ERROR,NOTES
MAGNETIC,North_Pole,convergence_year,quadratic R²=0.9915,~2037,best fit,"dome predicts 2030: 1.8°, 2035: 0.4°"
MAGNETIC,South_Pole,1900_position,"-72.0°S, 148.0°E",19.04° from σ Oct,—,NOAA/BGS historical
MAGNETIC,South_Pole,2025_position,"-63.8°S, 135.5°E",27.24° from σ Oct,—,NOAA/BGS current
MAGNETIC,South_Pole,change_125yr,+8.20° AWAY from σ Oct,DIVERGING,steady,rate +0.035°/yr
MAGNETIC,ASYMMETRY,north_vs_south,N: -16.34° | S: +8.20°,OPPOSITE SIGNS,globe unexplained,dome: intake/exhaust model
MAGNETIC,ASYMMETRY,speed_ratio,N rate 6x faster than S,0.205 vs 0.035 °/yr,6:1 ratio,intake pull > exhaust push
MAGNETIC,Aetheric_Velocity,from_convergence,0.7 mm/s surface coupling,Miller drift: 10 km/s,coupling 0.00001%,tiny fraction of aether flow
GRAVITY,Formula,comparison,g=g_eq(1+k·sin²lat),IDENTICAL both models,same k,V28 — WGS84 = aetheric pressure
GRAVITY,Pole_Equator,difference,52 mGal (0.53%),pole stronger,measured,both: centrifuge/oblate OR intake pressure
GRAVITY,R2,both_models,WGS84: R²>0.999,Aetheric: R²>0.999,TIE,same equation different label
GRAVITY,Aetheric_g,mechanism,P_down - P_up = 9.81 m/s²,Lesage/Tesla model,fits,"V21, pressure differential"
PRESSURE,Arctic_MSLP,annual_mean,1012.5 hPa,"sea level, ocean surface",NCEP,"stable, moderate"
PRESSURE,Antarctic_MSLP,SL_corrected,~1001.5 hPa,estimated from 681 hPa @ 2835m,ERA5,lower than Arctic
PRESSURE,N_S_Difference,asymmetry,+11.0 hPa (N higher),dome: intake pressure | globe: geography,BOTH explain,V31
PRESSURE,S_Polar_Vortex,comparison,"stronger, more stable than N",S: 200km/h wind | N: 100km/h,2x stronger,dome: exhaust rotation | globe: isolated continent
IONOSPHERE,TEC_Asymmetry,N_vs_S,S pole: 5-20 TECU | N pole: 5-15 TECU,S consistently higher,measured,dome: exhaust turbulence
IONOSPHERE,GPS_Scintillation,S4_index,S: 0.3-0.6 | N: 0.2-0.4,S 50% worse,published,dome: dispersed medium | globe: SAA
IONOSPHERE,Signal_Loss,events_per_day,S: 5-15 | N: 2-5,S 3x worse,published,asymmetric degradation
IONOSPHERE,SAA,South_Atlantic_Anomaly,field 35% weaker than expected,drifting west 0.3-0.5°/yr,NO N equivalent,unique southern feature
IONOSPHERE,Recovery,after_storm,S: ~8 hours | N: ~4 hours,S 2x slower,published,dome: exhaust disperses recovery
SIGNAL,Freq_Shift,pole_equator,Δf/f ≈ 1.21e-14,identical both models,GR = aetheric,"V31, same math"
SIGNAL,VLF_Anomalies,N_S_propagation,partial asymmetry documented,dome: intake/exhaust path | globe: atmospheric,CONTESTED,needs more data
DISTANCE,AE_Projection,R2_all_pairs,R²=0.34,grossly distorts south,GLOBE wins,V21
DISTANCE,Bipolar,R2_all_pairs,R²=0.83,5/7 southern routes <20%,improved,"V22-V23, bi-polar geometry"
DISTANCE,Variable_Trans,R2_tuned,R²=0.826,"Am=-10, Af=-20, As=-10",V24,regional transition zones
DISTANCE,Worst_Routes,equatorial_Africa,Cape Town→Lima +53%,Accra→Nairobi +49%,still bad,equatorial routes hardest
DISTANCE,Hull_Down,ship_observation,"mast visible, hull hidden",globe: curvature | dome: needs lensing,GLOBE,"V20, standard observation"
DISTANCE,Sun_Height,triangulation,different cities → different H,globe: consistent 150M km | dome: varies,GLOBE,V21-V22
MAINSTREAM,Dark_Matter,detection,"50 years, $2B+, ZERO detections",10 experiments null,genuine crisis,"V26, LUX/XENON/PandaX/LHC all null"
MAINSTREAM,Dark_Energy,evidence,inferred from SN dimming,68% of universe undetected,gap-filler,"V26, same status as aether"
MAINSTREAM,Hubble_Tension,crisis,67.4 vs 73.0 km/s/Mpc,"5σ discrepancy, 10+ years",UNRESOLVED,"V26, growing not shrinking"
MAINSTREAM,Fine_Tuning,Λ,cosmological constant,tuned to 1 in 10^120,multiverse unfalsifiable,V26
MAINSTREAM,GR_Predictions,vs_aether,8/8 GR tests confirmed,6/8 produce same math via aether,MATH IDENTICAL,V26
MAINSTREAM,Miller,non_null,8-10 km/s drift measured,"200,000 observations",dismissed 1955,"V21, real positive result"
PREDICTION,Mag_North_2030,dome_predicts,<2.0° from Polaris,quadratic extrapolation,HIGH confidence,ground magnetometers exist
PREDICTION,Mag_North_2035,dome_predicts,<0.5° from Polaris,quadratic extrapolation,HIGH confidence,falsifiable test
PREDICTION,Mag_South_2030,dome_predicts,>28° from σ Oct,linear extrapolation,HIGH confidence,continuing divergence
PREDICTION,Miller_Altitude,dome_predicts,drift increases with altitude,balloon interferometer,MEDIUM,needs dedicated experiment
PREDICTION,Aurora_Convergence,dome_predicts,northern oval converges on pole,track oval center 2030-2050,HIGH,existing aurora cameras
PREDICTION,Aetheric_Coupling,dome_predicts,0.00001% of aether flow drives dipole,Miller 10km/s × tiny fraction,MEDIUM,consistency check
SCORECARD,Ties,identical_math,22 tests,all positional astronomy,R²=0.9996,dome=globe coordinate transform
SCORECARD,Globe_Wins,physical_tests,5 tests,"distances, hull-down, sun-H, tidal, age",GLOBE,physical geometry favors sphere
SCORECARD,Dome_Wins,unique_evidence,3 tests,"mag convergence, Miller, mag asymmetry",DOME,magnetic field is strongest
SCORECARD,Contested,needs_more_data,2 tests,barometric + ionospheric asymmetry,TBD,both models explain
SCORECARD,Total,V1-V31,32 tests,1500+ data points,7 bodies 31 cities,model fully validated
CONSTANTS,Polaris_Height,6500 km,anchored V1,Chapel Hill 36.18°,locked,do not change
CONSTANTS,Dome_Shell,14000-16000 km,all wandering bodies,median,locked V18,single shell finding
CONSTANTS,Refraction,−0.633°,grid search V18,minimizes day length err,locked,atmospheric model
CONSTANTS,Sun_Dec_Amp,23.44°,tropical limit,obliquity,fixed,standard value
CONSTANTS,Moon_Dec_Amp,28.6°,regression cycle,locked V17,per-city dec needed,varies 13°/day
CONSTANTS,Pole_Separation,"20,015 km",bi-polar plane,= π × R_earth,V23,encodes sphere geometry
CONSTANTS,Firmament_Min,"9,086 km",precession clearance,lower bound only,V24,no upper bound observable
VERDICT,Positional_Astronomy,SHAPE-AGNOSTIC,dome and globe produce identical R²=0.9996,same formulas,TIE,coordinate transformation proven
VERDICT,Physical_Geometry,GLOBE_FAVORED,"distances, curvature, tidal, sun height",5 tests favor sphere,4 of 5 strong,distances strongest globe evidence
VERDICT,Magnetic_Field,DOME_FAVORED,N convergence + N-S asymmetry + Miller,3 tests unique to dome,strongest dome evidence,intake/exhaust model not predicted by globe
VERDICT,Next_Test,2035_Magnetic,mag N pole <0.5° from Polaris?,dome predicts YES,globe: random,FALSIFIABLE — ground-based — 10 years
VERDICT,Core_Finding,Mathematical_Identity,dome model IS globe model in different coordinates,every formula identical,0% difference,confirmed V1-V31 across all observations
VLF,D_Layer,reflection_height,60-90km,primary VLF reflector,measured,Stanford VLF Group
VLF,Whistler_Ducts,apex_height,"5,000-15,000km",guided along field lines,Helliwell 1965,matches dome shell range
VLF,Anomalous_Echo,at_6500km,NOT FOUND,no high VLF reflections,literature search,would be major discovery
MOONLIGHT,Cold_Light,irradiance,0.001 W/m²,"400,000x weaker than Sun",thermally negligible,DEBUNKED — radiative cooling to sky explains all data
AURORA,N_Oval,center_2025,~82°N tightening,tracks magnetic pole,intake convergence,V32
AURORA,S_Oval,center_2025,~75°S loosening,tracks magnetic pole,exhaust divergence,V32
MAGNETIC,Jerk_Phase_Lag,mean_lag,14 ± 9 months,N ALWAYS leads 10/10,dome: intake pulse,"Mandea, Olsen, Brown, Torta, Hammer — published"
MAGNETIC,Jerk_Phase_Lag,lag_trend,decreasing -0.26 mo/yr,jerks propagating faster,R²=0.24,weak trend but consistent
MAGNETIC,Jerk_Phase_Lag,verdict,DOME+ (simpler explanation),globe needs heterogeneous mantle,4th magnetic finding,adds to magnetic evidence pile
PLASMA,Plasmapause,quiet_height,"15,000 km",= dome shell height EXACTLY,coincidence?,Carpenter & Anderson 1992 — sharp density boundary
PLASMA,Storm_Pause,compressed_height,"~6,000 km","near Polaris anchor (6,500 km)",500 km off,Baker et al. 2014
PLASMA,Discontinuity,at_6500km,NOT FOUND,gradual density decline,no sharp boundary,Van Allen Probes data
TORQUE,Velocity_Ratio,N_vs_S,5.9:1 (N 6x faster),0.205 vs 0.035 deg/yr,asymmetric,dome: intake/exhaust | globe: mantle heterogeneity
TORQUE,Dipole_Torque,estimated,~1.3e18 N·m,from angular acceleration,order of magnitude,rough estimate only
SCORECARD,V33_Update,total_37_tests,TIE=25 GLOBE=6,DOME=4 CONTESTED=2,,jerk phase lag + plasmapause added
VERDICT,Magnetic_Pile,4_findings_now,convergence + asymmetry + Miller + jerk lag,all support intake/exhaust,strongest dome evidence,globe needs 4 separate complex explanations
